"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,502,40,0,0,0,0
"700",0,0,386,1256,0,0,0,0
"800",0,0,1077,963,0,0,0,0
"900",-1,0,1111,873,0,0,350,0
"1000",-3,0,2065,3084,0,0,0,250
"1100",-1,-2,3107,1390,0,0,0,2250
"1200",-254,-12,4657,855,0,0,7150,1700
"1300",-2071,-1555,3078,2649,0,0,2289,2000
"1400",-2195,-1259,4047,2565,-250,0,6750,500
"1500",-8517,-4033,4607,3486,0,0,6350,1750
"1600",-2544,-2974,2869,2887,-15750,0,0,250
"1700",-19406,-11913,688,325,-25300,-764,0,0
"1800",-4386,-6613,0,21,-33850,-5850,0,0
"1900",-989,-1254,0,0,-7518,0,0,0
"2000",-836,-3208,0,0,0,-1000,0,0
"2100",-552,-275,0,6,0,0,0,0
"2200",-1094,-272,0,4,0,0,0,0
"2300",-1837,-658,0,0,0,0,0,0
"2400",-206,-495,0,0,0,0,0,0
"2500",-8,-106,0,0,0,0,0,0
"2600",-3,-318,0,0,0,0,0,0
"2800",-79,-206,0,0,0,0,0,0
"3000",-6,-454,0,0,0,0,0,0
"3200",0,-716,0,0,0,0,0,0
"3400",-30,-257,0,0,0,0,0,0
"3600",-2,0,0,0,0,0,0,0
