"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"300",0,0,45,2,0,0,0,
"500",0,0,5,5,0,0,0,
"600",0,0,16,41,0,0,875,
"700",0,0,39,16,0,0,0,
"800",0,0,162,127,0,0,0,
"900",0,0,47,705,0,0,0,
"1000",0,0,107,137,0,0,0,
"1100",0,0,546,100,0,0,0,
"1200",0,0,5,356,0,0,0,
"1300",0,0,50,43,0,0,0,
"1400",-8,-6,859,432,0,0,0,
"1500",0,0,51,52,0,0,0,
"1600",-2,-6,50,0,0,0,0,
"1700",-4,-1,0,1,0,0,0,
"1800",-20,0,1,0,0,0,0,
"1900",-52,-4,0,0,0,0,0,
"2000",-2,-18,31,0,0,-6250,0,
"2200",-41,-58,0,60,0,0,0,
"2500",-616,-418,0,0,0,0,0,
"3000",-651,-338,0,0,-625,0,0,
"3500",-224,-190,0,0,-375,0,0,
"4000",-66,-57,0,0,0,0,0,
"4500",0,-10,0,0,0,0,0,
"5000",0,-51,0,0,0,0,0,
"5500",-26,-101,0,0,0,0,0,
