"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,2,0,0,0,0,0
"300",0,0,34,1,0,0,0,0
"400",0,0,0,448,0,0,0,0
"500",0,0,40,304,0,0,0,0
"600",0,0,156,6,0,0,0,0
"700",0,0,129,189,0,0,0,0
"800",0,0,108,326,0,0,1250,250
"900",0,0,94,542,0,0,0,0
"1000",0,0,498,1005,0,0,0,0
"1100",0,0,1117,1061,0,0,0,0
"1200",0,0,391,426,0,0,250,750
"1300",0,0,506,249,0,0,0,0
"1400",-5,0,298,690,0,0,0,0
"1500",0,-20,61,143,0,-1250,0,500
"1600",-82,-37,331,222,0,-3883,0,2550
"1700",-398,-40,23,83,0,-250,0,0
"1800",-556,-266,0,0,0,-550,0,0
"1900",-602,-573,0,43,0,-1783,0,0
"2000",-1186,-1161,5,1,0,-2238,0,0
"2100",-973,-606,0,0,-3906,0,0,0
"2200",-249,-709,0,0,-6733,0,0,0
"2300",-513,-85,0,0,-250,0,0,0
"2400",-19,-55,0,0,-750,0,0,0
"2500",-624,-864,0,0,0,0,0,0
"2600",-342,-143,0,0,0,0,0,0
"3000",-579,-619,0,0,-384,-4000,0,0
"3500",-220,-504,0,0,0,0,0,0
"4000",-160,-578,0,0,0,0,0,0
"4500",-115,0,0,0,0,0,0,0
"5000",-526,-160,0,0,0,0,0,0
"5500",-14,-203,0,0,0,0,0,0
"6000",-6,-115,0,0,0,0,0,0
"6500",-104,-173,0,0,0,0,0,0
