"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,0,0,0,-1,0,0
"300",0,0,50,0,0,0,0,0
"500",0,0,725,99,0,0,0,0
"600",-20,-20,0,230,0,0,0,0
"700",0,0,309,127,0,0,0,0
"800",0,0,357,625,0,0,0,0
"900",0,0,1035,391,0,0,0,250
"1000",0,0,1899,986,0,0,1713,250
"1100",0,0,1801,1949,0,0,0,2195
"1200",-1876,-42,4994,1911,0,0,2000,1375
"1300",-8,-5,646,1841,0,0,1250,0
"1400",-307,-504,2786,2748,0,0,125,250
"1500",-1058,-1114,2337,4097,-3401,-500,2501,1000
"1600",-3258,-3281,1547,2712,-1597,-3000,250,2500
"1700",-14292,-5128,809,899,-1047,-1400,1150,0
"1800",-22956,-3800,2,0,-25215,-1850,0,0
"1900",-1399,-1554,0,0,-5500,-2000,0,500
"2000",-3277,-5511,0,0,-5000,-750,0,0
"2100",-1620,-5355,0,0,-4210,-500,0,0
"2200",-1494,-1892,0,0,0,0,0,0
"2300",-805,-1498,0,0,-1500,0,0,0
"2400",-1979,-1958,1,0,-2500,-781,0,0
"2500",-269,-275,2,0,0,-600,0,0
"2600",-822,-722,0,0,-2250,0,0,0
"2800",-970,-760,0,0,-57,0,0,0
"3000",-395,-373,0,0,0,-277,0,0
"3200",-27,-163,0,0,0,0,0,0
"3400",-96,-188,0,0,0,0,0,0
"3500",-255,-382,0,0,0,-1500,0,0
"4000",-260,-509,0,0,-250,0,0,0
"4500",0,-400,0,0,0,0,0,0
"5000",0,-1850,0,0,-5145,0,0,0
"5500",-300,-3612,0,0,0,-125,0,0
"6000",-700,-1950,0,0,0,0,0,0
"6500",-1275,-518,0,0,0,0,0,0
"7000",-1122,-527,0,0,0,0,0,0
"8000",-3847,-197,0,0,0,0,0,0
"9000",-150,0,0,0,0,0,0,0
"10000",-945,-196,0,0,0,0,0,0
"25000",-1,0,0,0,0,0,0,0
