"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"10000",0,0,62.7,85.7,0,0,0,0
"12000",0,0,83.9,151.4,0,0,100,100
"14000",0,0,178.6,255.8,0,0,0,0
"15000",0,0,101.6,195.9,0,0,225,0
"16000",0,0,331.5,284.6,0,0,0,0
"17000",0,0,668.6,369.4,0,0,0,0
"18000",-0.1,-6.9,309.2,220.7,0,0,20,250
"19000",-158.9,-133.3,192.3,200.5,0,0,520,20
"20000",-44.2,-47.8,464.6,366.9,0,0,875,0
"21000",-81.5,-91.5,355.5,347,0,0,225,275
"22000",-163.3,-128.3,447.7,451.1,0,-225,0,337.5
"23000",-77.3,-162.7,344.2,456.9,-25,-150,187.5,201.7
"24000",-316.2,-317.3,496.3,355.6,-75,-90,0,375
"25000",-269,-452.4,300.6,319.2,-550,-350,25,0
"26000",-285.2,-318.2,250.3,289.4,-225,-100,0,150
"27000",-346.1,-348.8,146,361.3,-175,-687.5,175,112.5
"28000",-315.5,-532.6,324,130.1,-150,-820,42.5,96.5
"29000",-322.1,-467.7,90,49.4,-353,-803,0,0
"30000",-510.5,-535.9,5,12.1,-746,-745,0,0
"31000",-103.5,-166.7,0,0.3,-2225,-250,0,100
"32000",-660,-740.8,19.9,0,-8762.5,-1671.1,0,0
"33000",-123.1,-106,0,0,-1652.5,-388,0,0
"34000",-230.9,-255.9,30,0,0,-550,0,0
"35000",-431.6,-267.4,0,14.7,-1732.5,-462.5,0,0
"36000",-382.2,-274.7,20,0,-1431.1,-2128.5,0,0
"38000",-336.5,-439.5,10,0,-57,-5394.5,0,0
"40000",-247.8,-280.6,22.6,0,-666.7,-600,0,0
"42000",-100.7,-163.6,0,0,-275,-975,0,0
"44000",-53.2,-34.7,0,0,0,0,0,0
"45000",-88.8,-101.5,0,0,-130,-200,0,0
"50000",-82.1,-131,0,0,-85,0,0,0
"55000",-187.5,-331.5,0,0,0,-100,0,0
