"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,1055,483,0,0,0,0
"700",0,0,1239,1192,0,0,0,0
"800",0,0,946,528,0,0,4600,0
"900",0,0,490,657,0,0,300,0
"1000",0,0,1003,1470,0,0,0,0
"1100",0,0,1925,2105,0,0,0,6000
"1200",0,0,2697,2871,0,0,0,1000
"1300",-774,-868,2099,3901,0,0,20000,510
"1400",-1521,-964,2682,4208,0,0,750,7000
"1500",-1638,-2154,5308,5490,0,-4000,3250,10000
"1600",-2626,-3682,6371,6414,-1000,0,250,250
"1700",-4803,-3773,8585,7545,0,-2500,500,2500
"1800",-10383,-13637,4241,3620,-3750,-58455,1500,5350
"1900",-7339,-7526,1007,1380,-4750,-1248,0,0
"2000",-4844,-7646,1001,7,-3500,-6500,0,0
"2100",-1960,-3228,0,0,-7500,-11000,0,0
"2200",-2352,-2863,139,161,-8350,-500,0,0
"2300",-3786,-3124,0,0,-100,-7602,0,0
"2400",-1781,-2162,0,0,-15000,-2750,0,0
"2500",-5849,-2015,0,0,-2800,-550,0,0
"2600",-658,-1495,0,0,0,0,0,0
"2700",-162,-398,0,0,0,0,0,0
"2800",-1165,-1678,0,0,0,0,0,0
"3000",-1170,-959,0,0,0,0,0,0
"3200",-1456,-621,0,0,0,0,0,0
"3400",-911,-602,0,0,-1400,0,0,0
"3600",-823,-424,0,0,-2518,-4750,0,0
