"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"5000",0,0,5,5,0,0,0,0
"10000",0,0,58.4,146.9,0,0,35,25
"12000",-10,0,98.9,163.4,0,0,1611.4,473.1
"14000",0,0,154.8,193.4,0,0,918.2,3385.3
"15000",0,0,6.4,14.2,0,0,0,0
"16000",0,0,649.8,604.9,0,0,1959.4,1820.1
"17000",0,0,560.5,540.6,0,0,212.5,12.5
"18000",-6.1,-3.9,991.2,787.4,0,0,1110.7,424
"19000",-244.6,-156.8,699.8,849.2,0,-12.5,1119,244.9
"20000",-230.8,-201.4,1496.2,1373.2,-120,-20,2315.4,1120
"21000",-373.1,-207,992.7,858.5,-12.5,0,958.3,333.9
"22000",-464.7,-424.6,1231.1,1503.6,-37.5,-134,321.6,3275
"23000",-372.7,-675.8,1313.8,1091.6,-527.6,-660.5,522.5,1737.5
"24000",-1510.6,-805.9,997.3,733.7,-2714.5,-1093,682.5,925
"25000",-1550.9,-1459.1,1133.1,1029.2,-3375,-1660.7,298,952.5
"26000",-778.1,-1038.8,524.9,483.9,-2285.9,-2448.3,468,1559
"27000",-1051.8,-1708,845.8,829.2,-3052.8,-1686.2,205,998
"28000",-1820.9,-1734.5,461.9,305.3,-1874,-1770.5,250,150
"29000",-970.3,-904.2,143.1,87.1,-575,-430,50,0
"30000",-1863.4,-2009.5,23.1,26,-1706,-3042.9,0,0
"31000",-219.8,-254.7,0.1,0,0,-150,0,0
"32000",-1984,-1367.8,90.5,15,-3148,-2348,0,0
"34000",-756.8,-686.4,0,0,-775,-400,0,0
"35000",-926.9,-987.1,16.4,0,-775,-925,0,0
"36000",-663,-652,0,0,-2000,-140,0,0
"38000",-431.1,-549.5,0.2,0,0,0,0,0
"40000",-560.2,-546.3,0,0,-1378.6,-3077.5,0,0
"45000",-140.7,-354.7,0,0,-25,-315,0,0
"50000",-69.7,-107.5,0.6,0,0,0,0,0
