"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,1478,1219,0,0,0,0
"700",0,0,505,1785,0,0,0,0
"800",0,0,1692,1558,0,0,0,0
"900",-1,0,3441,2064,0,0,350,0
"1000",-3,0,8153,4865,0,0,250,450
"1100",-1,-2,7096,3216,0,0,0,5370
"1200",-254,-12,13702,6831,0,0,8928,5400
"1300",-2071,-1555,9749,10600,0,0,22494,8457
"1400",-3063,-2014,11065,9244,-250,0,11407,13885
"1500",-10314,-5567,8328,7317,-6,0,9102,5500
"1600",-5226,-5581,6237,6563,-18427,-1778,4494,5625
"1700",-22984,-16159,3328,4352,-27257,-1764,0,113
"1800",-22295,-15691,1544,1872,-43628,-20850,1000,1273
"1900",-8874,-6304,1058,313,-19481,-3300,0,0
"2000",-5101,-7443,37,1,-3076,-3500,0,0
"2100",-2429,-3219,0,7,-3552,-1350,0,0
"2200",-3944,-4020,203,4,-2500,-154,0,0
"2300",-3683,-3452,0,0,-12565,-250,0,0
"2400",-1937,-1837,177,0,-9250,-750,0,0
"2500",-567,-1260,190,0,-2022,-3250,0,0
"2600",-1021,-1941,36,0,-1700,-5750,0,0
"2800",-1897,-2515,0,0,-1055,-3000,0,0
"3000",-984,-1700,0,0,-1000,-9250,0,0
"3200",-263,-1024,0,0,0,0,0,0
"3400",-82,-829,0,0,0,0,0,0
"3600",-34,-286,0,0,0,0,0,0
