"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,461,174,0,0,0,0
"300",0,0,1083,390,0,0,0,0
"400",0,0,40,307,0,0,0,0
"500",0,0,279,111,0,0,0,250
"600",0,0,76,45,0,0,875,200
"700",0,0,181,1454,0,0,1125,0
"800",0,0,272,387,0,0,0,0
"900",0,0,48,790,0,0,0,0
"1000",0,0,474,573,0,0,500,500
"1100",-47,-2,56,415,0,-250,0,800
"1200",-32,0,206,957,-495,-495,0,2125
"1300",0,0,176,128,0,-875,0,514
"1400",-4,-5,303,189,0,-650,0,0
"1500",0,-9,131,37,0,0,0,0
"1600",-82,-41,23,12,-1259,-250,1000,250
"1700",-227,-65,2,0,-1145,-495,0,0
"1800",-8,-21,26,0,-500,-2178,0,0
"1900",-63,-15,0,0,0,-2000,0,0
"2000",-313,-433,1,2,-1000,-6000,0,0
"2200",-518,-319,60,60,0,-275,0,0
"2500",-630,-726,0,0,-1000,-500,0,0
"3000",-328,-3459,38,0,-25825,0,0,0
"3500",-385,-1088,0,0,-10525,0,0,0
"4000",-435,-945,0,0,-9000,0,0,0
"4500",-393,-546,0,1,0,0,0,0
"5000",-292,-247,0,0,0,-197,0,0
"5500",-3399,-1422,0,0,-250,0,0,0
