"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,52,10,0,0,0,0
"200",0,0,32,6,0,0,0,0
"300",0,0,58,62,0,0,0,0
"400",0,0,330,1067,0,0,0,0
"500",0,0,172,537,0,0,0,0
"600",0,0,503,595,0,0,0,0
"700",0,0,222,766,0,0,0,0
"800",0,0,1511,1794,0,0,1750,2750
"900",0,0,595,1342,0,0,0,0
"1000",-1,0,1526,2690,0,0,1875,2000
"1100",0,-8,2813,2568,0,0,0,0
"1200",-1,-17,1815,2758,-1600,0,2750,1500
"1300",-302,-47,1592,2010,-2600,0,1750,1500
"1400",-186,-968,982,2481,-1850,0,500,8500
"1500",-583,-195,1875,1808,-250,-4900,0,4550
"1600",-2502,-1859,1068,1206,-33975,-29893,1500,5060
"1700",-1453,-1451,181,1245,-1070,-3310,0,1000
"1800",-1974,-2039,2,1003,-1770,-6815,0,1000
"1900",-8800,-3684,0,49,-250,-31884,0,0
"2000",-14589,-7066,7,3,-6500,-8863,0,0
"2100",-2306,-1638,0,2,-16656,-5000,0,0
"2200",-2593,-3012,0,0,-15983,-23975,0,0
"2300",-1007,-781,0,0,-4850,-1320,0,0
"2400",-987,-2028,0,0,-7235,-9895,0,0
"2500",-1463,-2024,0,0,-8740,-1475,0,0
"2600",-1697,-528,0,0,-1000,-850,0,0
"3000",-2392,-3033,0,0,-6884,-6500,0,0
"3500",-1063,-1586,0,0,-1250,-13125,0,0
"4000",-814,-1324,0,0,-375,-2000,0,250
"4500",-242,-571,0,0,0,0,0,0
"5000",-909,-366,0,0,0,0,0,0
"5500",-454,-331,0,0,0,0,0,0
"6000",-37,-344,0,0,0,0,0,0
"6500",-123,-244,0,0,0,0,0,0
