"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",-1,0,2,0,0,-1,0,0
"300",0,0,218,28,0,0,0,0
"400",-1,-10,401,343,0,0,0,0
"500",0,-5,1163,494,0,0,0,0
"600",-22,-20,247,2672,0,0,0,0
"700",-5,0,744,699,0,0,0,0
"800",0,0,2468,1488,0,0,0,0
"900",-2,0,2762,1408,0,0,0,500
"1000",-13,-105,7049,5172,0,0,1838,1018
"1100",-501,-105,5314,5269,0,0,5000,4245
"1200",-1995,-50,10537,9885,0,0,15000,3000
"1300",-665,-479,7018,8730,-112,-1665,4633,1582
"1400",-503,-2915,5902,10068,0,-625,875,9900
"1500",-2665,-2922,6849,8428,-5151,-3750,4251,3750
"1600",-7110,-10952,3724,5386,-6522,-14018,2500,13820
"1700",-11766,-6754,2852,2064,-16685,-3788,1650,0
"1800",-30917,-8051,6,157,-8388,-6250,0,0
"1900",-8647,-5710,1,10,-10325,-3625,0,500
"2000",-15059,-15208,21,302,-28558,-2000,0,0
"2100",-5760,-8841,0,30,-13085,-2125,0,0
"2200",-4658,-4043,35,3,-3500,-9150,0,0
"2300",-3131,-6182,0,0,-5147,-6625,0,0
"2400",-4149,-6700,1,0,-19375,-2200,0,0
"2500",-5372,-3236,52,5,-3375,-11600,0,0
"2600",-3682,-5458,0,0,-11398,-16080,0,0
"2800",-2502,-3422,0,0,-57,0,0,0
"3000",-4389,-3923,0,0,-1250,-5777,0,0
"3200",-629,-2288,0,0,0,0,0,0
"3400",-536,-1084,0,0,0,0,0,0
"3500",-1400,-1290,0,0,0,-1500,0,0
"4000",-854,-1625,0,0,-250,0,0,0
"4500",-91,-224,0,0,0,0,0,0
"5000",-258,-1947,0,0,-5145,0,0,0
"5500",-334,-4617,0,0,0,-125,0,0
"6000",-800,-3032,0,0,0,0,0,0
"6500",-1775,-1577,0,0,0,0,0,0
"7000",-1124,-767,0,0,0,0,0,0
"8000",-3902,-2852,0,0,-125,0,0,0
"9000",-151,0,0,0,0,0,0,0
"10000",-1065,-236,0,0,0,-125,0,0
"15000",-140,0,0,0,0,0,0,0
"20000",-35,-65,0,0,0,0,0,0
"25000",-79,0,0,0,0,0,0,0
"30000",-431,0,0,0,0,0,0,0
