"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"10000",0,0,20.3,4.9,0,0,0,0
"12000",0,0,1,2.5,0,0,0,0
"14000",0,0,0.1,84.7,0,0,0,0
"15000",0,0,1,17.8,0,0,0,0
"16000",0,0,3.6,74.5,0,0,0,0
"17000",0,0,43.6,33.2,0,0,0,0
"18000",0,0,42,26.3,0,0,0,0
"19000",0,0,27.9,42.5,0,0,100,0
"20000",-1,-1.3,135.7,76.1,0,0,25,0
"21000",-1.3,-1,51.6,92.2,0,0,0,0
"22000",0,0,51.3,67.8,0,0,0,0
"23000",0,-0.8,81.5,63,0,0,187.5,150
"24000",-2.3,-0.5,63,128.1,0,0,0,125
"25000",-3.6,-0.8,37.2,99.9,0,0,0,0
"26000",-19.1,-13.6,72.6,101.7,0,0,0,150
"27000",-33.7,-27.8,28.6,289.1,-75,-62.5,175,37.5
"28000",-64.4,-72.4,144,93.7,-25,-75,42.5,62.5
"29000",-71.3,-126.9,41.3,21,0,-50,0,0
"30000",-87.7,-59.4,0,0.5,-50,-425,0,0
"31000",-45.2,-83.4,0,0,-450,-200,0,0
"32000",-130.2,-209.5,0,0,-805.5,-548.5,0,0
"33000",-26.3,-49.1,0,0,-352.5,-338,0,0
"34000",-75.1,-29.6,0,0,0,-75,0,0
"35000",-110.3,-104.7,0,4,-225,-187.5,0,0
"36000",-127.1,-102.8,0,0,-295.5,-533,0,0
"38000",-50.5,-114.3,0,0,0,0,0,0
"40000",-48.1,-74.9,0,0,0,0,0,0
"42000",-24.4,-65.1,0,0,0,0,0,0
"44000",-5.7,-7.7,0,0,0,0,0,0
"45000",-12.8,-52.4,0,0,0,-200,0,0
"50000",-7.1,-19,0,0,0,0,0,0
"55000",-60.3,-104.1,0,0,0,0,0,0
