"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,0,11,0,0,0,0
"700",0,0,43,163,0,0,0,0
"800",0,0,5,41,0,0,4600,0
"900",0,0,17,60,0,0,300,0
"1000",0,0,21,191,0,0,0,0
"1100",0,0,85,146,0,0,0,0
"1200",0,0,391,571,0,0,1000,1000
"1300",0,0,341,1189,0,0,20000,0
"1400",0,0,126,1101,0,0,750,0
"1500",-7,-1,248,785,0,0,500,0
"1600",-25,-8,318,624,0,0,1250,0
"1700",-677,-1367,3153,2760,0,0,500,500
"1800",-1651,-1613,1315,1944,-750,-9600,0,350
"1900",-708,-2512,4,419,-1000,-498,0,0
"2000",-1252,-1907,0,0,-3500,0,0,0
"2100",-519,-931,0,0,-7500,0,0,0
"2200",-1284,-821,0,0,-100,-500,0,0
"2300",-1979,-1130,0,0,-100,-1133,0,0
"2400",-703,-387,0,0,-5000,0,0,0
"2500",-177,-331,0,0,-2500,-550,0,0
"2600",-188,-125,0,0,0,0,0,0
"2700",-71,-134,0,0,0,0,0,0
"2800",-3,-183,0,0,0,0,0,0
"3000",-28,-214,0,0,0,0,0,0
"3200",-1,-31,0,0,0,0,0,0
"3400",-2,-349,0,0,0,0,0,0
"3600",-140,-169,0,0,0,0,0,0
