"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"800",0,0,310,330,0,0,0,0
"900",0,0,812,923,0,0,0,0
"1000",0,0,1418,988,0,0,0,0
"1100",0,0,3849,2388,0,0,0,0
"1200",0,-1,10703,14039,0,0,250,1126
"1250",-4,-4,13695,11317,0,0,500,0
"1300",-10,-46,7888,8666,0,0,5250,1650
"1350",-724,-527,15582,11005,0,0,500,0
"1400",-1099,-2417,10697,11101,-1000,-276,11790,900
"1450",-4431,-5467,10813,6692,-250,-750,250,1000
"1500",-8672,-9633,7469,9451,-2450,-250,8500,250
"1525",-4916,-3504,1147,1564,-500,0,250,250
"1550",-3483,-3905,1011,743,-2790,-1950,250,0
"1600",-7863,-8462,570,918,-500,-709,0,0
"1650",-5460,-5755,3,466,-1168,0,0,0
"1700",-1700,-4322,2,0,-250,0,0,0
"1750",-1899,-1721,0,0,-250,0,0,0
"1800",-890,-1228,0,0,0,0,0,0
"1850",-532,-234,0,0,0,0,0,0
"1900",-154,-261,0,0,0,0,0,0
"2000",-101,-6,1,0,0,0,0,0
"2100",-24,-49,0,0,0,0,0,0
"3000",0,0,2,0,0,0,0,0
