"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"5000",0,0,10,0,0,0,0,0
"10000",0,0,12,190,0,0,0,0
"12000",0,0,2,26,0,0,0,0
"14000",0,0,0,35.6,0,0,0,0
"15000",0,0,2.6,13.3,0,0,0,0
"16000",0,0,105.1,97.9,0,0,25,0
"17000",0,0,16.5,1.9,0,0,25,0
"18000",0,0,88.3,69.7,0,0,711,50
"19000",0,0,37.9,76.1,0,0,0,115
"20000",0,-5.5,445.6,166.1,0,0,412.5,673.5
"21000",0,-13,174.7,96,0,0,0,0
"22000",-3,-3.5,210.4,454.6,0,0,52.5,50
"23000",-1,-0.9,351.6,268.1,0,0,437.5,487.5
"24000",0,-4.3,162.7,116.5,-750,0,50,250
"25000",-7.1,-3.3,376.5,184.4,-300,0,73,100
"26000",-6.1,-13.5,257.6,111.7,-100,0,270,1430
"27000",-198,-234.6,365,371.3,-50,-200,100,288
"28000",-404.6,-417.2,158.7,153.4,-300,-665,50,0
"29000",-336.1,-175.8,109,79.6,-210,-375,50,0
"30000",-497,-559.2,25,6.1,-1545,-50,0,0
"31000",-303.1,-237.4,0,0,-150,-250,0,0
"32000",-618,-361.6,13.3,0,-250,-112.5,0,0
"34000",-242.2,-157.6,0,0,-600,-325,0,0
"35000",-329.6,-370.8,16.4,0,-425,-350,0,0
"36000",-193.8,-231,0,0,-50,-100,0,0
"38000",-168.8,-307.7,0.2,0,0,-175,0,0
"40000",-374.3,-324.8,0,0,-405,-540,0,0
"45000",-25,-83.4,0,12,0,-300,0,0
"50000",-18.8,-16.8,0.6,0,0,0,0,0
