"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,0,14,0,0,0,0
"700",0,0,0,37,0,0,0,0
"800",0,0,345,15,0,0,0,0
"900",0,0,12,5,0,0,0,0
"1000",0,0,67,18,0,0,0,0
"1100",0,0,1292,670,0,0,0,0
"1200",0,0,353,280,0,0,0,200
"1300",0,0,1567,1606,0,0,6297,0
"1400",-20,-20,1941,3044,0,0,200,500
"1500",-74,0,1346,2499,0,0,1750,512
"1600",-372,-49,4297,2557,0,0,750,16840
"1650",0,0,5,60,0,0,0,0
"1700",-449,-431,4476,3488,-500,0,756,5500
"1750",-43,0,1,21,0,0,0,0
"1800",-4126,-5403,1157,1835,-900,-1750,0,500
"1850",-89,-234,0,38,0,0,0,0
"1900",-2090,-3132,839,249,-890,0,500,0
"1950",-7,-49,0,0,0,0,0,0
"2000",-11661,-7797,0,0,-23950,-2700,0,0
"2100",-2392,-2350,24,0,-16000,-250,0,0
"2200",-5607,-4672,0,0,-20250,-600,0,0
"2300",-1346,-2856,0,0,-250,0,0,0
"2400",-1806,-1868,0,0,-1500,0,0,0
"2500",-1560,-1656,0,0,-2000,0,0,0
"2600",-661,-577,0,0,0,0,0,0
"2800",-106,-166,0,0,0,0,0,0
"3000",-501,-54,0,0,0,0,0,0
"3200",-21,-24,0,0,0,0,0,0
"3400",-6,-1,0,0,0,0,0,0
"3600",0,-24,5,0,0,0,0,0
