"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,50,10,0,0,0,0
"200",0,0,32,0,0,0,0,0
"300",0,0,0,30,0,0,0,0
"400",0,0,1,90,0,0,0,0
"500",0,0,43,137,0,0,0,0
"600",0,0,107,131,0,0,0,0
"700",0,0,65,84,0,0,0,0
"800",0,0,402,209,0,0,0,0
"900",0,0,250,280,0,0,0,0
"1000",0,0,307,249,0,0,0,2000
"1100",0,0,536,354,0,0,0,0
"1200",0,-1,458,411,0,0,0,250
"1300",0,-25,471,772,-1000,0,1500,500
"1400",0,-60,174,609,0,0,500,2000
"1500",-8,-15,1057,969,0,-3650,0,750
"1600",-956,-825,211,43,-1000,-3385,0,760
"1700",-221,-673,0,1068,0,-2560,0,1000
"1800",-511,-531,0,1000,0,-3765,0,1000
"1900",-5014,-1130,0,0,0,-23850,0,0
"2000",-1866,-1885,0,0,-3000,-875,0,0
"2100",-379,-601,0,0,-125,0,0,0
"2200",-588,-106,0,0,-2000,-750,0,0
"2300",-267,-409,0,0,-4500,0,0,0
"2400",-225,-349,0,0,-860,0,0,0
"2500",-426,-144,0,0,-2615,-500,0,0
"2600",-656,-188,0,0,-500,0,0,0
"3000",-370,-432,0,0,-375,0,0,0
"3500",-89,-102,0,0,0,0,0,0
"4000",-2,-87,0,0,-375,0,0,0
"4500",0,-270,0,0,0,0,0,0
"5000",-66,-33,0,0,0,0,0,0
"5500",-3,0,0,0,0,0,0,0
"6000",-26,-22,0,0,0,0,0,0
"6500",-19,0,0,0,0,0,0,0
