"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,0,0,0,-1,0,0
"300",0,0,50,0,0,0,0,0
"500",0,0,266,228,0,0,0,0
"600",0,0,10,350,0,0,0,0
"700",0,0,600,201,0,0,0,0
"800",0,0,543,231,0,0,0,0
"900",0,0,1199,446,0,0,0,0
"1000",0,0,1782,706,0,0,1713,125
"1100",0,0,2041,1115,0,0,1800,2195
"1200",-1099,-42,6633,3359,0,0,2900,4418
"1300",-13,-4,4350,2320,0,0,15250,0
"1400",-574,-722,3317,2982,0,0,0,0
"1500",-2421,-1908,2430,4666,-3401,-1500,2000,2500
"1600",-2616,-4990,1721,3104,-2597,-2329,4250,2500
"1700",-38559,-6887,1797,1339,-3910,-3150,2150,575
"1800",-37617,-5922,2017,344,-25133,-17100,0,0
"1900",-2183,-2406,142,30,-2000,-1750,0,500
"2000",-4518,-5759,0,0,-3000,-5500,0,0
"2100",-2386,-4577,0,0,-4464,-668,0,0
"2200",-2978,-2145,0,0,-17525,0,0,0
"2300",-1065,-1689,0,0,-1500,0,0,0
"2400",-2014,-1101,1,0,-2500,-250,0,0
"2500",-393,-728,2,0,0,-600,0,0
"2600",-801,-733,0,0,-2250,0,0,0
"2800",-224,-380,0,0,-57,0,0,0
"3000",-279,-370,0,0,0,-277,0,0
"3200",-28,-211,0,0,0,0,0,0
"3400",-39,-188,0,0,0,0,0,0
"3500",-280,-382,0,0,0,-1500,0,0
"4000",-260,-755,0,0,-250,0,0,0
"4500",-458,-600,0,0,0,0,0,0
"5000",0,-1850,0,0,-5145,0,0,0
"5500",-300,-3011,0,0,0,-125,0,0
"6000",-700,-1450,0,0,0,0,0,0
"6500",-1273,-518,0,0,0,0,0,0
"7000",-1119,-527,0,0,0,0,0,0
"8000",-3847,-197,0,0,0,0,0,0
"9000",-150,0,0,0,0,0,0,0
"10000",-945,-196,0,0,0,0,0,0
"25000",-1,0,0,0,0,0,0,0
