"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"10000",0,0,39.5,110,0,0,0,0
"12000",0,0,67.7,201.6,0,0,100,100
"14000",0,0,160.9,167.3,0,0,0,0
"15000",0,0,99.6,173.2,0,0,225,0
"16000",0,0,324.1,205,0,0,0,0
"17000",0,0,648.4,325.2,0,0,0,0
"18000",-0.1,-6.9,265.9,209.7,0,0,20,250
"19000",-158.9,-133.3,143,143.1,0,0,440,20
"20000",-43.2,-46.5,254,282.8,0,0,875,12.5
"21000",-80,-90.5,292.8,236.7,0,0,225,25
"22000",-163.1,-130.4,412.2,344.5,0,-225,0,337.5
"23000",-77.6,-161.9,250.6,322.3,-25,-150,12.5,51.7
"24000",-310.3,-322.9,315.7,193.8,-75,-92.2,1.3,50
"25000",-317.5,-462.2,207.9,187.5,-550,-350.7,0.4,0
"26000",-270.5,-311.1,113.4,95.6,-225,-100,0,0
"27000",-420.2,-431.5,63,46,-100,-625,0,50
"28000",-226.5,-316,54.3,21.2,-125,-675,0,34
"29000",-174,-293.3,0,0,-353,-125,0,0
"30000",-298.4,-469.8,0.2,0,-421,-20,0,0
"31000",0,-8,0,0,-775,0,0,0
"32000",-327,-249.9,19.9,0,-4000,-100,0,0
"34000",-119.3,-160.8,30,0,0,-25,0,0
"35000",-230.5,-108.8,0,10.7,-232.5,0,0,0
"36000",-197.1,-140.2,20,0,0,-270,0,0
"38000",-173.6,-176.2,10,0,-20,-3315,0,0
"40000",-72.8,-98,22.6,0,-666.7,-500,0,0
"42000",-26,-48.4,0,0,0,0,0,0
"44000",-0.7,0,0,0,0,0,0,0
"45000",-44,-30.3,0,0,0,0,0,0
"50000",-39.8,-76.4,0,0,-85,0,0,0
"55000",-51.8,-62.1,0,0,0,0,0,0
