"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,912,1282,0,0,0,0
"700",0,0,1245,1280,0,0,0,0
"800",0,0,973,699,0,0,4000,0
"900",0,0,709,1012,0,0,300,0
"1000",0,0,1904,1903,0,0,0,100
"1100",0,0,1802,1021,0,0,0,3000
"1200",0,-24,1861,2324,0,0,1000,0
"1300",-774,-868,1612,1956,0,0,20000,510
"1400",-1516,-963,1989,2372,0,0,750,5500
"1500",-1622,-2136,3242,2586,0,-4000,517,20000
"1600",-2613,-3515,5328,4877,-1000,0,1250,411
"1700",-4409,-2209,1945,2619,-298,-3161,500,2500
"1800",-8574,-9711,216,495,-1000,-55955,0,0
"1900",-4759,-3553,214,0,-1750,-1250,0,0
"2000",-2346,-2227,1001,0,0,-500,0,0
"2100",-1078,-1391,0,0,0,0,0,0
"2200",-598,-1204,139,161,-8250,0,0,0
"2300",-1399,-7638,0,0,-1000,-5969,0,0
"2400",-1269,-1371,0,0,-1000,0,0,0
"2500",-1806,-1579,0,0,-5000,0,0,0
"2600",-990,-2033,0,0,-250,-250,0,0
"2700",-33,-47,0,0,0,0,0,0
"2800",-500,-1658,0,0,0,-100,0,0
"3000",-379,-436,0,0,0,-41,0,0
"3200",-70,-104,0,0,0,0,0,0
"3400",-171,-610,0,0,-700,0,0,0
"3600",-112,-251,0,0,0,0,0,0
