"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"5000",0,0,0,5,0,0,0,0
"10000",0,0,128.8,156.1,0,0,35,25
"12000",-10,0,247.5,187.6,0,0,1650.4,473.1
"14000",0,0,166.1,159.3,0,0,918.2,3385.3
"15000",0,0,0,0.1,0,0,0,0
"16000",0,0,559.2,572.4,0,0,1934.4,1820.1
"17000",0,0,690.3,645.6,0,0,187.5,416
"18000",-6.1,-3.9,942.7,786.6,0,0,406.7,374
"19000",-244.6,-157.1,723.1,879.3,0,-12.5,1549,137.6
"20000",-230.8,-189.1,1051.7,1273.4,-120,-20,1882.4,321.5
"21000",-373.2,-195,787,828.9,-12.5,0,949.3,747.8
"22000",-475,-438.6,1037,1200.3,-37.5,-171.3,269.1,3003.9
"23000",-455,-775.8,1009.5,725.5,-527.6,-899.2,491,1100
"24000",-1701.8,-895.7,655.2,773.9,-2777,-1364.9,357.5,1183.6
"25000",-1783.7,-1699,536.5,610.4,-3446,-1702.3,25,290.2
"26000",-1095.2,-1248.9,335.3,356.3,-2431.8,-2674.3,300,37.7
"27000",-899.1,-1675.3,201.7,113.1,-3334.8,-710.4,3.5,0
"28000",-1221.1,-1377.5,99,31.8,-1859,-1091,0,0
"29000",-584.7,-615.1,28.4,0,-370,-357.6,0,0
"30000",-1018.6,-1340.7,4.6,16,-2176,-3002.8,0,0
"31000",-1,-10,0,0,0,0,0,0
"32000",-1005.8,-828.7,47.2,15,-1656.9,-2105.5,0,0
"34000",-710.5,-578.3,0,0,-619.2,-1250,0,0
"35000",-420.1,-388.3,0,0,-225,-500,0,0
"36000",-300.4,-204.3,0,0,-2107,-200,0,0
"38000",-173,-162.9,0,0,0,0,0,0
"40000",-90.6,-119.1,0,0,0,-1000,0,0
"45000",-49.9,-154.7,0,0,0,-25,0,0
"50000",-141.2,-37.5,0,0,0,0,0,0
