"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,1468,1400,0,0,0,0
"700",0,0,513,1706,0,0,0,0
"800",0,0,2153,1104,0,0,0,0
"900",-1,0,5275,3123,0,0,350,307
"1000",-3,0,8848,5291,0,0,0,450
"1100",-1,-2,7638,3483,0,0,0,5370
"1200",-254,-19,12278,8748,0,0,9478,5900
"1300",-2071,-1615,10980,8561,0,0,6844,6907
"1400",-2959,-1886,14888,13698,-250,0,12073,50135
"1500",-9901,-5162,11155,9120,-6,-5250,9102,12250
"1600",-6005,-5448,8997,7760,-19827,-15653,410,3750
"1700",-27142,-19575,4829,5254,-36557,-5764,0,3613
"1800",-27468,-21655,3056,2158,-45402,-43100,1000,1523
"1900",-12610,-10699,561,120,-23030,-3300,0,0
"2000",-13011,-17688,22,0,-21626,-3750,0,0
"2100",-5813,-8189,0,6,-6052,-2050,0,0
"2200",-7827,-6926,0,4,-3000,-154,0,0
"2300",-7060,-6029,0,0,-13083,-375,0,0
"2400",-2663,-1409,0,0,-11000,-750,0,0
"2500",-1843,-3053,0,0,-1022,-4500,0,0
"2600",-1265,-2228,0,0,-1700,-5750,0,0
"2800",-2232,-2668,0,0,-1055,-3000,0,0
"3000",-889,-1706,0,0,-875,-7250,0,0
"3200",-458,-1171,0,0,0,0,0,0
"3400",-148,-930,0,0,0,0,0,0
"3600",-53,-434,0,0,0,0,0,0
