"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"10000",0,0,37.9,9,0,0,0,0
"12000",0,0,31.8,88.3,0,0,100,100
"14000",0,0,70.4,53.2,0,0,0,0
"15000",0,0,90.3,159.9,0,0,225,0
"16000",0,0,250.7,143.6,0,0,0,0
"17000",0,0,265,168.9,0,0,0,0
"18000",0,0,148.1,88,0,0,0,0
"19000",-65.7,-44.3,68.6,86.4,0,0,0,0
"20000",-4.6,-18.7,125,208.6,0,0,0,0
"21000",-34.1,-23,162.8,135.8,0,0,0,0
"22000",-58.1,-28.5,142.8,169.2,0,-100,0,212.5
"23000",-18.3,-9.2,187.7,253.7,0,0,0,25
"24000",-90.2,-163.4,200.6,154.7,0,-15,0,50
"25000",-147.7,-254.1,128.5,170.8,0,0,0,0
"26000",-160.5,-171.2,113.4,95.6,-25,0,0,0
"27000",-180.1,-242.3,63,46,-50,-625,0,50
"28000",-188,-187.6,54.3,21.2,-125,-675,0,34
"29000",-111.6,-209.8,0,0,-128,-125,0,0
"30000",-118.9,-284.8,0,0,-421,-20,0,0
"31000",0,-8,0,0,-775,0,0,0
"32000",-213.4,-186.8,19.9,0,-3750,-100,0,0
"34000",-95.5,-136.4,30,0,0,-25,0,0
"35000",-230.5,-105.3,0,10.7,-232.5,0,0,0
"36000",-173.7,-125.3,20,0,0,-270,0,0
"38000",-164.2,-121.8,10,0,-20,-3315,0,0
"40000",-60.6,-61.9,22.6,0,-666.7,-500,0,0
"42000",-26,-48.4,0,0,0,0,0,0
"44000",-0.7,0,0,0,0,0,0,0
"45000",-42.7,-16.2,0,0,0,0,0,0
"50000",-37.2,-61,0,0,-85,0,0,0
"55000",-51.8,-62.1,0,0,0,0,0,0
