"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,222,179,0,0,0,0
"700",0,0,605,426,0,0,0,0
"800",0,0,283,100,0,0,4000,0
"900",0,0,273,160,0,0,0,0
"1000",0,0,286,92,0,0,0,0
"1100",0,0,853,569,0,0,0,3000
"1200",0,0,582,888,0,0,0,0
"1300",-344,-318,1103,856,0,0,0,0
"1400",-141,-152,784,1181,0,0,0,1500
"1500",-125,-470,984,1332,0,0,0,0
"1600",-670,-1188,3218,3021,0,0,250,0
"1700",-1401,-971,1184,1528,0,-2500,500,2000
"1800",-4812,-6736,205,208,-750,-2800,0,0
"1900",-2898,-1498,214,0,-500,0,0,0
"2000",-1273,-1412,1001,0,0,0,0,0
"2100",-673,-840,0,0,0,0,0,0
"2200",-541,-711,139,161,-250,0,0,0
"2300",-1174,-720,0,0,0,0,0,0
"2400",-454,-605,0,0,0,0,0,0
"2500",-1290,-490,0,0,0,0,0,0
"2600",-357,-145,0,0,0,0,0,0
"2700",-33,-47,0,0,0,0,0,0
"2800",-329,-230,0,0,0,0,0,0
"3000",-312,-133,0,0,0,0,0,0
"3200",-2,-15,0,0,0,0,0,0
"3400",-36,-58,0,0,-700,0,0,0
"3600",-84,-10,0,0,0,0,0,0
