"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"10000",0,0,35.5,16.5,0,0,35,25
"12000",-10,0,38.2,51,0,0,25,35
"14000",0,0,76.2,103.7,0,0,0,0
"15000",0,0,0,0.1,0,0,0,0
"16000",0,0,374.2,287.6,0,0,323,225
"17000",0,0,147.4,239.4,0,0,0,0
"18000",-1.2,-1.5,468.9,369.4,0,0,0,327
"19000",-143.7,-90.9,387.8,393.9,0,0,4,25
"20000",-113.1,-125,515.9,814,0,0,375,96.5
"21000",-239.7,-77.9,403.2,440.9,0,0,244.3,43
"22000",-253.2,-198.9,699.2,750.2,0,-134,0,2600
"23000",-209.5,-341.7,551.4,427,-256,-28,85,800
"24000",-978.2,-373.8,405.2,435.9,-2515,-625,132.5,525
"25000",-1155.2,-1003.5,379.7,450.8,-1835,-80,25,15
"26000",-441.8,-537.8,246.2,238.7,-1128.7,-2174.3,300,0
"27000",-596.7,-1137.2,102.8,55,-2922.8,-453,0,0
"28000",-778.8,-733.2,99,31.8,-1054,-303,0,0
"29000",-387.6,-357.8,28.4,0,-190,-280,0,0
"30000",-676.2,-727.3,3.4,16,-1221,-1837.9,0,0
"31000",-1,-10,0,0,0,0,0,0
"32000",-763.1,-508.3,47.2,15,-1605.5,-1955.5,0,0
"34000",-352.8,-323.9,0,0,-100,-75,0,0
"35000",-419.8,-384.9,0,0,-225,-500,0,0
"36000",-200.6,-87.6,0,0,-2000,0,0,0
"38000",-102,-63.6,0,0,0,0,0,0
"40000",-57.2,-67.8,0,0,0,-1000,0,0
"45000",-18.4,-92.1,0,0,0,0,0,0
"50000",-16.2,-7.5,0,0,0,0,0,0
