"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,45,311,0,0,0,0
"700",0,0,118,822,0,0,0,0
"800",0,0,807,84,0,0,0,0
"900",0,0,2566,1502,0,0,0,307
"1000",0,0,2067,1547,0,0,0,0
"1100",0,0,1627,982,0,0,0,0
"1200",0,-10,2263,3221,0,0,1050,500
"1300",-1001,-565,3462,3525,0,0,300,200
"1400",-750,-251,5641,5876,0,0,1057,38050
"1500",-805,-367,4032,3985,0,-5250,0,7250
"1600",-2354,-1823,4184,4130,-2000,-15125,0,125
"1700",-11531,-6052,2151,2250,-9300,-5000,0,3500
"1800",-7428,-9973,2082,672,-5774,-24000,0,250
"1900",-5339,-5605,37,26,-5000,0,0,0
"2000",-8266,-10813,2,0,-18800,-250,0,0
"2100",-3705,-5200,0,0,-5000,-1300,0,0
"2200",-4048,-3201,0,1,-500,0,0,0
"2300",-3531,-2935,0,0,-518,-125,0,0
"2400",-1142,-344,0,0,-2500,0,0,0
"2500",-1350,-1798,0,0,0,-1500,0,0
"2600",-407,-351,0,0,0,0,0,0
"2800",-390,-233,0,0,0,0,0,0
"3000",-313,-38,0,0,0,0,0,0
"3200",-214,-159,0,0,0,0,0,0
"3400",-102,-106,0,0,0,0,0,0
"3600",-38,-159,0,0,0,0,0,0
