"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"400",0,0,3,0,0,0,0,0
"500",0,0,5,66,0,0,0,0
"600",0,0,3,5,0,0,0,0
"700",0,0,25,144,0,0,0,0
"800",0,0,95,101,0,0,0,0
"900",0,0,2,128,0,0,0,0
"1000",0,0,168,346,0,0,500,500
"1100",-1,0,3,103,0,0,0,525
"1200",-1,0,100,331,0,-250,0,750
"1300",0,0,34,10,0,0,0,514
"1400",0,0,8,172,0,-650,0,0
"1500",0,0,22,20,0,0,0,0
"1600",-2,-1,21,0,-1000,-250,1000,250
"1700",-16,-2,2,0,-900,0,0,0
"1800",0,-16,25,0,0,-250,0,0
"1900",-25,0,0,0,0,0,0,0
"2000",-11,-201,0,0,0,-750,0,0
"2200",-293,-11,60,0,0,0,0,0
"2500",-206,-15,0,0,-750,0,0,0
"3000",-111,-272,0,0,-17000,0,0,0
"3500",-2,-2,0,0,-750,0,0,0
"4000",-406,-53,0,0,0,0,0,0
"4500",-312,-13,0,0,0,0,0,0
"5000",-2,-52,0,0,0,0,0,0
"5500",-318,0,0,0,0,0,0,0
