"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",-1,0,2,101,0,0,0,0
"300",0,0,237,100,0,0,0,0
"400",0,0,508,304,0,0,0,0
"500",-5,-5,845,692,0,0,0,0
"600",-2,0,503,2866,0,0,0,0
"700",-5,-5,1094,1123,0,0,500,500
"800",0,0,3273,3001,0,0,1625,0
"900",-2,-1,3044,1801,0,0,2000,750
"1000",-6,-155,6213,7496,0,0,3250,1643
"1100",-588,-694,4625,4842,0,0,7000,3550
"1200",-203,-180,7789,9560,0,-500,5750,2375
"1300",-2826,-2325,7047,8021,-2000,-2165,3883,2332
"1400",-2336,-4309,3141,7626,-12875,-1375,1250,4500
"1500",-14740,-7812,4806,5984,-6250,-10500,1750,2500
"1600",-8839,-14549,1939,3355,-10800,-11768,2250,1820
"1700",-5410,-4344,1532,872,-4438,-4888,0,0
"1800",-11406,-4792,4,168,-14598,-14250,0,0
"1900",-11988,-13267,1,11,-14825,-2250,0,0
"2000",-18852,-15487,21,308,-21808,-1500,0,0
"2100",-6037,-4784,0,31,-8750,-6125,0,0
"2200",-3704,-2847,35,2,-4250,-20450,0,0
"2300",-3517,-3996,0,0,-8147,-12625,0,0
"2400",-2751,-4285,0,1,-16875,-2669,0,0
"2500",-4695,-2142,50,12,-2375,-11000,0,0
"2600",-1538,-3183,0,0,-6148,-13830,0,0
"2800",-2428,-2941,0,0,0,0,0,0
"3000",-4681,-4717,0,0,0,0,0,0
"3200",-1044,-2216,1,1,0,0,0,0
"3400",-547,-1215,0,0,0,0,0,0
"3500",-1568,-1070,0,0,0,0,0,0
"4000",-1002,-1753,0,0,0,0,0,0
"4500",-211,-278,0,0,0,0,0,0
"5000",-348,-520,0,0,0,0,0,0
"5500",-1082,-1005,0,0,0,0,0,0
"6000",-65,-252,0,0,0,0,0,0
"6500",-69,-559,0,0,0,0,0,0
"7000",-69,-243,0,0,0,0,0,0
"8000",-55,-2655,0,0,-125,0,0,0
"9000",-1,0,0,0,0,0,0,0
"10000",-175,-40,0,0,0,-125,0,0
"15000",-143,0,0,0,0,0,0,0
"20000",-35,-65,0,0,0,0,0,0
"25000",-78,0,0,0,0,0,0,0
"30000",-431,0,0,0,0,0,0,0
