"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,60,273,0,0,0,0
"300",0,0,1087,618,0,0,0,0
"400",0,0,54,357,0,0,0,0
"500",0,0,305,191,0,0,0,250
"600",0,0,113,255,0,0,250,625
"700",0,0,424,2092,0,0,1500,750
"800",0,0,329,486,0,0,0,0
"900",0,0,64,167,0,0,0,0
"1000",0,0,517,556,0,0,500,500
"1100",-47,-2,80,146,0,-775,0,525
"1200",-860,-1,439,487,-995,-4125,500,2875
"1300",-2,-3,247,936,-500,-1000,139,639
"1400",-551,-7,236,198,-650,-650,0,0
"1500",-9,-44,246,39,-500,-1100,0,139
"1600",-134,-83,463,0,-2134,-250,1375,250
"1700",-305,-223,3,1,-900,-495,0,0
"1800",-518,-263,25,7,-750,-2178,0,0
"1900",-443,-466,0,0,0,-2000,0,0
"2000",-439,-1216,1,2,-5550,-5500,0,0
"2200",-672,-222,60,0,0,0,0,0
"2500",-692,-866,0,0,-1000,-500,0,0
"3000",-1179,-4699,33,0,-25575,-950,0,0
"3500",-1312,-1967,0,0,-8400,-125,0,0
"4000",-1600,-1270,0,0,-9000,0,0,0
"4500",-553,-532,0,1,0,0,0,0
"5000",-540,-482,0,0,0,-197,0,0
"5500",-575,-7303,0,0,-250,0,0,0
