"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,393,984,0,0,0,0
"200",0,0,24,182,0,0,0,0
"300",0,0,728,191,0,0,0,0
"400",0,0,204,50727,0,0,0,0
"500",-10,-10,506,534,0,0,0,0
"600",-25,-25,553,385,0,0,0,0
"700",-15,-15,248,692,0,0,0,0
"800",-25,-25,2375,2936,0,0,2500,4250
"900",-1,0,624,1484,0,0,0,0
"1000",-1,0,2180,3387,0,0,1875,0
"1100",-3,-14,2631,2664,0,0,125,0
"1200",-4,-35,2086,2798,0,-1000,4750,2000
"1300",-823,-274,1508,1310,-1125,-375,1000,1125
"1400",-691,-1186,737,1861,-7250,-250,125,500
"1500",-917,-622,454,586,-1000,-6250,500,3300
"1600",-1386,-2235,1325,816,-14235,-26033,2885,2675
"1700",-2597,-1846,156,177,-2520,-2750,0,0
"1800",-4305,-2765,5,4,-2995,-3050,0,0
"1900",-5291,-3453,0,43,-8500,-6400,0,0
"2000",-15010,-7013,7,21,-15350,-14488,0,0
"2100",-3548,-3567,0,5,-17531,-5500,0,0
"2200",-2693,-2424,0,0,-19225,-625,0,0
"2300",-930,-1028,0,0,-100,-1570,0,0
"2400",-746,-1018,0,0,-725,-11220,0,0
"2500",-1602,-2070,0,0,-15875,-1725,0,0
"2600",-1035,-1355,0,0,0,-850,0,0
"3000",-4957,-2893,0,0,-3809,-6450,0,0
"3500",-1535,-1625,0,0,-2250,-13125,0,0
"4000",-1427,-2178,0,0,0,-2000,0,250
"4500",-455,-1202,0,0,0,0,0,0
"5000",-832,-1320,0,0,0,0,0,0
"5500",-490,-426,0,0,0,0,0,0
"6000",-12,-198,0,0,0,0,0,0
"6500",-604,-267,0,0,0,0,0,0
