"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,2,0,0,0,0,0
"300",0,0,58,5,0,0,0,0
"400",0,0,0,92,0,0,0,0
"500",0,0,65,5,0,0,0,0
"600",0,0,9,31,0,0,0,0
"700",0,0,88,186,0,0,0,0
"800",0,0,171,326,0,0,1250,250
"900",0,0,76,457,0,0,0,0
"1000",0,0,540,933,0,0,0,0
"1100",0,-7,1095,1113,0,0,0,0
"1200",0,0,641,487,0,0,250,750
"1300",0,0,573,105,0,0,0,0
"1400",-10,0,336,721,0,0,0,0
"1500",-23,-27,251,173,0,-500,0,500
"1600",-335,-47,399,258,-1500,-3883,1500,2550
"1700",-457,-273,8,83,0,0,0,0
"1800",-694,-203,0,0,0,-300,0,0
"1900",-763,-369,0,43,0,-900,0,0
"2000",-7939,-1058,5,1,-1000,-2238,0,0
"2100",-1034,-631,0,0,-3906,0,0,0
"2200",-230,-612,0,0,-5850,0,0,0
"2300",-520,-35,0,0,0,0,0,0
"2400",-19,-52,0,0,0,0,0,0
"2500",-620,-1334,0,0,-2000,0,0,0
"2600",-310,-137,0,0,0,0,0,0
"3000",-770,-699,0,0,-384,-3000,0,0
"3500",-221,-493,0,0,0,0,0,0
"4000",-164,-558,0,0,0,0,0,0
"4500",-115,0,0,0,0,0,0,0
"5000",-532,-159,0,0,0,0,0,0
"5500",-14,-203,0,0,0,0,0,0
"6000",-11,-117,0,0,0,0,0,0
"6500",-104,-173,0,0,0,0,0,0
