"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",-1,0,0,0,0,0,0,0
"300",0,0,0,5,0,0,0,0
"500",0,0,17,28,0,0,0,0
"600",0,0,1,430,0,0,0,0
"700",0,0,101,156,0,0,0,0
"800",0,0,1497,262,0,0,0,0
"900",0,0,1542,450,0,0,0,0
"1000",0,0,982,878,0,0,0,0
"1100",0,-4,1183,945,0,0,5000,250
"1200",-2,0,2179,2981,0,0,4500,875
"1300",-1,-200,1206,2751,0,-415,1375,582
"1400",-42,-48,1082,2046,0,0,0,1000
"1500",-298,-871,1581,2330,-500,-1500,500,2000
"1600",-1499,-3019,1233,1469,-2550,-6083,1000,1195
"1700",-740,-967,941,235,-1388,-1000,0,0
"1800",-4130,-1981,4,91,-1888,-750,0,0
"1900",-1023,-1789,1,10,0,-1500,0,0
"2000",-2777,-2770,0,2,-7000,-500,0,0
"2100",-1831,-1028,0,20,0,-750,0,0
"2200",-357,-811,32,2,-250,-1600,0,0
"2300",-540,-1020,0,0,-2500,-5000,0,0
"2400",-306,-359,0,0,0,0,0,0
"2500",-614,-743,0,2,0,0,0,0
"2600",-368,-1804,0,0,-1625,-1942,0,0
"2800",-367,-1066,0,0,0,0,0,0
"3000",-763,-511,0,0,0,0,0,0
"3200",-16,-23,0,0,0,0,0,0
"3400",-46,-339,0,0,0,0,0,0
"3500",-48,-185,0,0,0,0,0,0
"4000",-3,-57,0,0,0,0,0,0
"4500",-4,0,0,0,0,0,0,0
"5000",-30,-15,0,0,0,0,0,0
"5500",0,-1000,0,0,0,0,0,0
"6000",0,-220,0,0,0,0,0,0
"6500",0,-144,0,0,0,0,0,0
"7000",-2,0,0,0,0,0,0,0
"30000",-1,0,0,0,0,0,0,0
